id,name,address,latitude,longitude,poker_atlas_links
82,Westgate Las Vegas Resort & Casino,"3000 Paradise Rd, Las Vegas, NV 89109",36.13596,-115.15216,www.pokeratlas.com/poker-room/westgate-las-vegas
83,Resorts World Las Vegas,"3000 S Las Vegas Blvd, Las Vegas, NV 89109",36.13432,-115.16768,www.pokeratlas.com/poker-room/resorts-world-las-vegas
84,Horseshoe Las Vegas,"3645 Las Vegas Blvd. S, Las Vegas, NV 89109",36.11408,-115.16781,www.pokeratlas.com/poker-room/horseshoe-las-vegas
85,Wynn Casino Las Vegas,"3131 S. Las Vegas Blvd., Las Vegas, NV 89109",36.12915,-115.16555,www.pokeratlas.com/poker-room/wynn-las-vegas
86,Venetian Casino,"3355 Las Vegas Blvd. South, Las Vegas, NV 89109",36.12409,-115.16824,www.pokeratlas.com/poker-room/venetian-las-vegas
87,Caesars Palace,"3570 Las Vegas Boulevard, Las Vegas, NV 89109",36.11734,-115.17613,www.pokeratlas.com/poker-room/caesars-palace-las-vegas
88,Bellagio Casino,"3600 S. Las Vegas Blvd., Las Vegas, NV 89109",36.1139,-115.17597,www.pokeratlas.com/poker-room/bellagio-las-vegas
89,Aria Casino,"3730 Las Vegas Blvd., Las Vegas, NV 89109",36.10735,-115.17683,www.pokeratlas.com/poker-room/aria-las-vegas
90,MGM Grand,"3799 Las Vegas Boulevard South, Las Vegas, NV 89109",36.10151,-115.17107,www.pokeratlas.com/poker-room/mgm-grand-las-vegas
91,The Orleans Casino,"4500 W. Tropicana Ave., Las Vegas, NV 89103",36.10376,-115.20286,www.pokeratlas.com/poker-room/the-orleans-las-vegas
92,Mandalay Bay,"3950 South Las Vegas Boulevard, Las Vegas, NV 89119",36.09284,-115.17507,www.pokeratlas.com/poker-room/mandalay-bay-las-vegas
93,Harrah's Laughlin,"2900 S Casino Dr, Laughlin, NV 89029",35.14427,-114.57654,www.pokeratlas.com/poker-room/harrahs-laughlin
94,Riverside Resort & Casino,"1650 South Casino Drive, Laughlin, NV 89029",35.16739,-114.57158,www.pokeratlas.com/poker-room/riverside-resort-laughlin
95,Desert Diamond Casino West Valley,"9431 W Northern Ave, Glendale, AZ 85305",33.54871,-111.26188,www.pokeratlas.com/poker-room/desert-diamond-casino-west-valley-glendale
96,Talking Stick Arena Poker,"9800 E Talking Stick Way, Scottsdale, AZ 85256",34.54032,-111.86967,www.pokeratlas.com/poker-room/talking-stick-resort-scottsdale
97,Gila River Casino - Lone Butte,"1077 S Kyrene Rd, Chandler, AZ 85226",33.28962,-111.94302,www.pokeratlas.com/poker-room/lone-butte-chandler
98,Casino Del Sol Resort,"5655 West Valencia Rd, Tucson, AZ 85757",32.13164,-111.08659,www.pokeratlas.com/poker-room/casino-del-sol-tucson
99,Desert Diamond Casino Tucson,"7350 South Nogales Highway, Tucson, AZ 85756",32.11825,-110.96414,www.pokeratlas.com/poker-room/desert-diamond-tucson
100,4 Bears Casino & Lodge,"202 Frontage Road, New Town, ND 58763",47.97981,-102.57518,www.pokeratlas.com/poker-room/4-bears-new-town
101,Cadillac Jack's Gaming Resort,"360 Main Street, Deadwood, SD 57732",44.3851,-103.72154,www.pokeratlas.com/poker-room/cadillac-jacks-deadwood
102,Saloon #10,"657 Main Street, Deadwood, SD 57732",44.37726,-103.72966,www.pokeratlas.com/poker-room/saloon-no-10-deadwood
103,Silverado Franklin Casino,"709 Main Street, Deadwood, SD 57732",44.37517,-103.73113,www.pokeratlas.com/poker-room/silverado-casino-deadwood
104,Lucky J Social Club,"111 Richman Street, Black Hawk, CO 80422",39.80033,-105.4894,www.pokeratlas.com/poker-room/ameristar-black-hawk
105,Bally's Black Hawk,"261 Main Street, Black Hawk, CO 80422",39.79893,-105.48898,www.pokeratlas.com/poker-room/ballys-black-hawk
106,Monarch Black Hawk Casino,"488 Main Street, Black Hawk, CO 80422",39.79877,-105.48351,www.pokeratlas.com/poker-room/monarch-black-hawk
107,Horseshoe Black Hawk,"401 Main St., Black Hawk, CO 80422",39.79838,-105.48345,www.pokeratlas.com/poker-room/horseshoe-black-hawk
108,Midnight Rose Poker Room,"256 East Bennett Avenue, Cripple Creek, CO 80813",38.74667,-105.17708,www.pokeratlas.com/poker-room/midnight-rose-cripple-creek
109,Sandia Resort & Casino,"30 Rainbow Road, Albuquerque, NM",35.20652,-106.56753,www.pokeratlas.com/poker-room/sandia-poker-room-albuquerque
110,Isleta Casino,"11000 Broadway Blvd SE, Albuquerque, NM 87105",34.9379,-106.66175,www.pokeratlas.com/poker-room/isleta-casino-albuquerque
111,Inn of the Mountain Gods Resort & Casino,"287 Carrizo Canyon Road, Mescalero, NM 88340",33.29563,-105.6902,www.pokeratlas.com/poker-room/inn-of-mountain-gods-mescalero
112,House of Kings Card Room,"10705 Gateway Blvd. West, Suite E, El Paso, TX 79935",31.75181,-106.34222,www.pokeratlas.com/poker-room/house-of-kings-card-club-el-paso
113,Amarillo Social Club,"1619 S Kentucky Street, Suite D1330, Amarillo, TX 79102",35.19674,-101.86757,www.pokeratlas.com/poker-room/amarillo-social-club
114,The River League,"3284 Sherwood Way, San Angelo, TX 76901",31.44663,-100.48094,www.pokeratlas.com/poker-room/the-river-league-san-angelo
115,Celebrity Card Club Odessa,"4803 Plaza Blvd., Suite 202, Odessa, TX 79762",31.9011,-102.33762,www.pokeratlas.com/poker-room/celebrity-card-club-odessa
116,KoJack's Poker Club,"3205 West Cuthbert Ave, Suite B-9, Midland, TX 79701",31.99905,-102.11592,www.pokeratlas.com/poker-room/kojacks-midland
117,Kickapoo Lucky Eagle Casino,"794 Lucky Eagle Drive, Eagle Pass, TX 78852",28.61091,-100.44159,www.pokeratlas.com/poker-room/kickapoo-lucky-eagle-eagle-pass
118,Four Kings Card Club,"4100 San Bernardo Avenue, Suites 2 & 3, Laredo, TX 78041",27.53698,-99.50563,www.pokeratlas.com/poker-room/four-kings-card-club-laredo
119,The Fort Card Room,"8450 I-20, Aledo, TX 76008",32.72519,-97.58552,www.pokeratlas.com/poker-room/the-fort-card-room-aledo
120,Peaks Dallas,"1231 Wycliff Avenue suite 100, Dallas, TX 75207",32.80065,-96.83867,www.pokeratlas.com/poker-room/peaks-dallas
121,Shuffle 214,"11411 East Northwest Highway, Dallas, TX 75218",32.86587,-96.68245,www.pokeratlas.com/poker-room/shuffle-214-dallas
122,Texas Card House,"11834 Harry Hines Blvd Suite 135, Dallas, TX 75234",32.9108,-96.89392,www.pokeratlas.com/poker-room/texas-card-house-dallas
123,Texas Card House Las Colinas,"955 W John Carpenter Fwy #110, Irving, TX 75039",32.89394,-96.95887,www.pokeratlas.com/poker-room/tch-social-las-colinas-irving
124,5220 Social,"3509 SW Wilshire Blvd Suite 102, Burleson, TX 76028",32.48349,-97.3775,www.pokeratlas.com/poker-room/5220-social-burleson
125,Poker House Fort Worth,"1055 SW Wilshire Blvd, Burleson, TX 76028",32.52671,-97.33988,www.pokeratlas.com/poker-room/poker-house-fort-worth-burleson
126,Texas Double Deuce Social Club,"309 W Hidden Creek Pkwy, Burleson, TX 76028",32.52455,-97.32492,www.pokeratlas.com/poker-room/texas-double-deuce-social-club-burleson
127,Lucky J Social Club,"9371 Richmond Ave., Houston, TX 77063",29.72844,-95.53012,www.pokeratlas.com/poker-room/lucky-j-social-club-houston
128,Georgetown Poker Club,"3010 Williams Drive suite 206, Georgetown, TX 78628",30.66389,-97.69339,www.pokeratlas.com/poker-room/georgetown-poker-club
129,Lone Star Social,"1525 Cypress Creek Road l, Cedar Park, TX 78613",30.48148,-97.83439,www.pokeratlas.com/poker-room/lone-star-social-cedar-park
131,Red Star Social,"9070 Research Blvd., Suite 105, Austin, TX 78758",30.37301,-97.72813,www.pokeratlas.com/poker-room/red-star-social-austin
132,The Lodge Card Club,"1401 South Interstate 35 Frontage Road, Round Rock, TX 78664",30.49657,-97.67772,www.pokeratlas.com/poker-room/lodge-card-club-austin-round-rock
134,Shuffle 512,"6501 S Congress Ave, Austin, TX 78745",30.19523,-97.77745,www.pokeratlas.com/poker-room/shuffle-512-austin
135,The Royal Card House of San Antonio,"7616 Culebra Rd, San Antonio, TX 78251",29.45952,-98.64039,www.pokeratlas.com/poker-room/the-royal-card-house-of-san-antonio
136,The Lodge Card Club San Antonio,"3723 Colony Drive, San Antonio, TX 78230",29.53304,-98.55951,www.pokeratlas.com/poker-room/lodge-card-club-san-antonio
137,Alamo Card House,"9323 Perrin Beitel Unit 103, San Antonio, TX",29.52557,-98.41225,www.pokeratlas.com/poker-room/alamo-card-house-2-san-antonio
138,The Big Blind,"19314 U.S. Hwy 281 N, San Antonio, TX 78258",29.62175,-98.46251,www.pokeratlas.com/poker-room/the-big-blind-san-antonio
139,SA Card House,"13400 San Pedro Ave, San Antonio, TX 78216",29.56133,-98.48251,www.pokeratlas.com/poker-room/sa-card-house-san-antonio
140,Texas Card House Rio Grande Valley,"403 W Trenton Rd, Edinburg, TX 78539",26.26295,-98.17448,www.pokeratlas.com/poker-room/texas-card-house-rio-grande-valley-edinburg
141,Texas Card House Spring,"1411 Spring Cypress Rd, Spring, TX 77373",30.07485,-95.43374,www.pokeratlas.com/poker-room/texas-card-house-spring
142,4 Suits Social,"20022 U.S. 59, Humble, TX 77338",30.00595,-95.26657,www.pokeratlas.com/poker-room/4-suits-social-humble
143,Doghouse Poker Club,"27118 Hwy 290, Suite D, Cypress, TX 77433",29.98115,-95.71936,www.pokeratlas.com/poker-room/doghouse-poker-club-cypress
144,Cypress Poker Club,"12810 Telge Rd, Cypress, TX 77429",29.96253,-95.64946,www.pokeratlas.com/poker-room/cypress-poker-club
145,Star's Poker Club,"11078 Veterans Memorial Drive, Houston, TX 77067",29.94317,-95.46305,www.pokeratlas.com/poker-room/stars-poker-club-houston
146,Paramount Social Club,"13153 Northwest Freeway, Houston, TX 77040",29.84603,-95.50413,www.pokeratlas.com/poker-room/paramount-social-club-houston
147,Spades Poker House Baytown,"6952 Garth Rd, Baytown, TX 77521",29.80321,-94.98004,www.pokeratlas.com/poker-room/spades-poker-house-baytown
148,Clifton Card House,"135 Grand Ave, Bacliff, TX 77518",29.50978,-94.97871,www.pokeratlas.com/poker-room/clifton-card-house-bacliff
